브랜드,상호,창업비용
연안식당,(주)디딤,"127,375
(0.41)"
바다사랑,바다사랑본점,"127,210
(0.41)"
신사부대찌개&품격삼겹살,(주)신사의품격,"126,800
(0.41)"
별난돼지 김치찌개 & 뒷고기,아름애프앤씨(F&C),"126,200
(0.41)"
김사또산더미오리&탕,태일푸드,"126,000
(0.41)"
한통(한마리 통큰)정육식당,삼보미트&푸드,"125,830
(0.41)"
쎌빠,(주)쎌빠,"125,750
(0.41)"
한마음정육식당,(주)지피에프씨,"125,730
(0.41)"
옛날농장,(주)첨성대,"125,516
(0.41)"
차돌박사,(주)끼니,"125,500
(0.41)"
서해물총칼국수,(주)디딤,"125,375
(0.40)"
편장군족발,(주)편장군족발,"125,300
(0.40)"
데블스램&펍,데블스램&펍위례신도시점,"125,230
(0.40)"
고미꽃시래,고미꽃시래,"125,120
(0.40)"
토향,(주)토향,"125,100
(0.40)"
자연정가 양평해장국,(유)전라도푸드에프앤씨,"124,900
(0.40)"
진미국수,(주)디딤,"124,900
(0.40)"
조순금닭도리탕,조순금닭도리탕,"124,900
(0.40)"
제주돈식당,비에스엔알프랜차이즈,"124,650
(0.40)"
여우감자탕,(주)와이에프앤씨글로벌,"124,350
(0.40)"
브라이트스타,(주)브라이트스타,"124,220
(0.40)"
육공소,육공소,"123,800
(0.40)"
뚱뚱이할머니족발보쌈,(주)제이비에프씨,"123,780
(0.40)"
주원명가,농업회사법인(주)주원산오리,"123,740
(0.40)"
양평두물머리 해장국,(주)나라찬에프엔비,"123,250
(0.40)"
메르밀 진미집,(주)열한시오십분,"123,000
(0.40)"
서민돼지,(주)푸드리아,"122,900
(0.40)"
무교동유정낙지,(주)무교동유정낙지,"122,750
(0.40)"
백미옛날갈비,(주)백미에프에스티,"122,700
(0.40)"
흑도리,해피브릿지협동조합,"122,700
(0.40)"
애플삼겹살,(주)디딤,"122,670
(0.40)"
도리명가,D.RHOLDINGS,"122,150
(0.39)"
현풍닭칼국수,신칼,"122,100
(0.39)"
한국의 솜씨,(주)이에스로지스틱스,"122,100
(0.39)"
청춘대패,(주)솔빛씨앤씨,"121,880
(0.39)"
정일면옥,(주)정일,"121,800
(0.39)"
제주 흑다돈,영농조합법인돈마유통,"121,600
(0.39)"
장패(JANGPAE),장패체인사업본부,"121,260
(0.39)"
금강산감자탕,농업회사법인구삐(주),"121,201
(0.39)"
돌배기집,(주)더본코리아,"120,830
(0.39)"
서민식당 서서갈비,원영미트,"120,700
(0.39)"
팜팜대패,팜팜대패체인사업부,"120,580
(0.39)"
쌍다리돼지불백,(주)성북동이야기,"120,470
(0.39)"
미추냉삼,(주)디딤,"120,390
(0.39)"
어수지락,수림에프앤디,"120,150
(0.39)"
반반한명태가,(주)장보고푸드시스템,"120,140
(0.39)"
강릉장칼국수,(주)알에스푸드빌,"120,042
(0.39)"
후암편백,비스에프엔비,"119,900
(0.39)"
천하제일족발,(주)훌랄라,"119,750
(0.39)"
정코다리,(주)티.케이.피,"119,600
(0.39)"
생고기제작소,생고기제작소(주),"119,600
(0.39)"
경원해물찜아구찜,경원해물찜아구찜,"119,534
(0.39)"
연남숯불닭갈비,(주)디딤,"119,400
(0.39)"
692서서갈비,(주)에스이엔에프씨,"119,300
(0.38)"
진국본가,농업회사법인㈜진국본가,"119,300
(0.38)"
파파낙지,(주)테이스티컴퍼니,"119,125
(0.38)"
버섯잔치집,버섯잔치집,"119,050
(0.38)"
삼곱식당,삼곱푸드,"118,900
(0.38)"
청년보쌈,(주)엘에이치지,"118,600
(0.38)"
홍할매,(주)엘에이치지,"118,600
(0.38)"
해적면,(주)훌랄라,"118,600
(0.38)"
오리니,(주)엘에이치지,"118,600
(0.38)"
곱창민족,(주)엘에이치지,"118,600
(0.38)"
경성뼈대,(주)훌랄라,"118,600
(0.38)"
우스타,(주)엘에이치지,"118,600
(0.38)"
쫄삼예찬,(주)엘에이치지,"118,600
(0.38)"
정손식당,(주)엘에이치지,"118,600
(0.38)"
조선푸줏간,(주)훌랄라,"118,600
(0.38)"
수육신,(주)엘에이치지,"118,600
(0.38)"
황찜,(주)훌랄라,"118,600
(0.38)"
조선비빔,(주)훌랄라,"118,600
(0.38)"
아낌없이 주는 진미찜&탕,진미찜&탕,"118,500
(0.38)"
양철식당,(주)와이앤씨코리아,"118,500
(0.38)"
참이맛감자탕,(주)참이맛,"118,500
(0.38)"
월홍갈비,제이원푸드(주),"118,350
(0.38)"
꺼먹지명태조림,꺼먹지황태식품,"118,300
(0.38)"
이씨네푸줏간,이씨네푸줏간,"118,300
(0.38)"
명태밥상,명태밥상,"118,300
(0.38)"
반달전집,(주)디딤,"118,300
(0.38)"
시골애,(주)시골애,"117,700
(0.38)"
홍춘천,(주)훌랄라,"117,600
(0.38)"
족발쌀롱,족발쌀롱,"117,500
(0.38)"
면채반,(주)면채반,"117,400
(0.38)"
아구신랑콩나물색시,아콩수산,"117,400
(0.38)"
석쇠꾼,(주)휴링크에프씨,"117,400
(0.38)"
